NR	FILENR	ID	SYMBOL	USE	TRACE	RU	PL
64445	-1	57696	DIA_WAPPEN_GERLACH_BOT_NEIN	"AI_OUTPUT(SELF,OTHER,""DIA_WAPPEN_Gerlach_Bot_01_05"")"	SUBTITLE	За свою верность ты можешь приобрести хорошие доспехи.	Çŕ ńâîţ âĺđíîńňü ňű ěîćĺřü ďđčîáđĺńňč őîđîřčĺ äîńďĺőč.
64454	-1	57705	DIA_WAPPEN_GERLACH_DIENER_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_WAPPEN_Gerlach_Diener_01_01"")"	SUBTITLE	Галлус взялся тебя обучать магии?	Ăŕëëóń âç˙ëń˙ ňĺá˙ îáó÷ŕňü ěŕăčč?
64455	-1	57705	DIA_WAPPEN_GERLACH_DIENER_INFO	"AI_OUTPUT(OTHER,SELF,""DIA_WAPPEN_Gerlach_Diener_15_01"")"	SUBTITLE	Да.	Tak.
64456	-1	57705	DIA_WAPPEN_GERLACH_DIENER_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_WAPPEN_Gerlach_Diener_01_02"")"	SUBTITLE	Отлично! Нам нужны всесторонне развитые стражники!	Doskonale! Íŕě íóćíű âńĺńňîđîííĺ đŕçâčňűĺ ńňđŕćíčęč!
64457	-1	57705	DIA_WAPPEN_GERLACH_DIENER_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_WAPPEN_Gerlach_Diener_01_03"")"	SUBTITLE	Это отличное дополнение для армии! За короля!	Ýňî îňëč÷íîĺ äîďîëíĺíčĺ äë˙ ŕđěčč! Niech żyje Król!
64458	-1	57705	DIA_WAPPEN_GERLACH_DIENER_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_WAPPEN_Gerlach_Diener_01_04"")"	SUBTITLE	Хм. Надеюсь, нам это не выйдет боком.	Hmm. Íŕäĺţńü, íŕě ýňî íĺ âűéäĺň áîęîě.
64459	-1	57705	DIA_WAPPEN_GERLACH_DIENER_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_WAPPEN_Gerlach_Diener_01_05"")"	SUBTITLE	Я надеюсь, ты уделишь хоть часть своей силы нашей страже, о, достопочтенный маг.	ß íŕäĺţńü, ňű óäĺëčřü őîňü ÷ŕńňü ńâîĺé ńčëű íŕřĺé ńňđŕćĺ, î, äîńňîďî÷ňĺííűé ěŕă.
64460	-1	57705	DIA_WAPPEN_GERLACH_DIENER_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_WAPPEN_Gerlach_Diener_01_06"")"	SUBTITLE	Твой дух и поддержка укрепит любого из нас.	Ňâîé äóő č ďîääĺđćęŕ óęđĺďčň ëţáîăî čç íŕń.
64461	-1	57705	DIA_WAPPEN_GERLACH_DIENER_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_WAPPEN_Gerlach_Diener_01_07"")"	SUBTITLE	В любом случае твой выбор был мудрым.	Hmm... Jak zawsze, twój wybór był z pewnością słuszny.
64810	2836	205424	DIA_EX_MIKE_ABOUTERZTAL	C_INFO.DESCRIPTION	C_INFO.DESCRIPTION	Куда именно ушел ваш командир?	Ęóäŕ čěĺííî óřĺë âŕř ęîěŕíäčđ?
64811	-1	57856	DIA_EX_MIKE_ABOUTERZTAL_INFO	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Mike_AboutERZTAL_15_00"")"	SUBTITLE	Куда именно ушел ваш командир?	Ęóäŕ čěĺííî óřĺë âŕř ęîěŕíäčđ?
64812	-1	57856	DIA_EX_MIKE_ABOUTERZTAL_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Mike_AboutERZTAL_12_01"")"	SUBTITLE	В соседнюю долину. Туда отправились рабочие для добычи руды.	Â ńîńĺäíţţ äîëčíó. Ňóäŕ îňďđŕâčëčńü đŕáî÷čĺ äë˙ äîáű÷č đóäű.
64813	-1	57856	DIA_EX_MIKE_ABOUTERZTAL_INFO	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Mike_AboutERZTAL_15_01"")"	SUBTITLE	Странно, что командир гарнизона занялся охраной добычи руды.	Ńňđŕííî, ÷ňî ęîěŕíäčđ ăŕđíčçîíŕ çŕí˙ëń˙ îőđŕíîé äîáű÷č đóäű.
64814	-1	57856	DIA_EX_MIKE_ABOUTERZTAL_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Mike_AboutERZTAL_12_02"")"	SUBTITLE	Ничего странного нет. Горняки докопались до входа в древние сооружения, поэтому туда отправились маги.	Íč÷ĺăî ńňđŕííîăî íĺň. Ăîđí˙ęč äîęîďŕëčńü äî âőîäŕ â äđĺâíčĺ ńîîđóćĺíč˙, ďîýňîěó ňóäŕ îňďđŕâčëčńü ěŕăč.
64815	-1	57856	DIA_EX_MIKE_ABOUTERZTAL_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Mike_AboutERZTAL_12_03"")"	SUBTITLE	Наш командир, Марик, присматривает за ситуацией в целом.	Íŕř ęîěŕíäčđ, Ěŕđčę, ďđčńěŕňđčâŕĺň çŕ ńčňóŕöčĺé â öĺëîě.
64816	-1	57856	DIA_EX_MIKE_ABOUTERZTAL_INFO	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Mike_AboutERZTAL_15_02"")"	SUBTITLE	Мне любопытно, где именно все это происходит. Как туда добраться?	Ěíĺ ëţáîďűňíî, ăäĺ čěĺííî âńĺ ýňî ďđîčńőîäčň. Jak się tam dostać?
64817	-1	57856	DIA_EX_MIKE_ABOUTERZTAL_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Mike_AboutERZTAL_12_04"")"	SUBTITLE	Выйди из крепости, обойди ее по правой стороне, пока не упрешься в стену. Дорога налево до упора приведет тебя к проходу.	Âűéäč čç ęđĺďîńňč, îáîéäč ĺĺ ďî ďđŕâîé ńňîđîíĺ, ďîęŕ íĺ óďđĺřüń˙ â ńňĺíó. Äîđîăŕ íŕëĺâî äî óďîđŕ ďđčâĺäĺň ňĺá˙ ę ďđîőîäó.
64818	-1	57856	DIA_EX_MIKE_ABOUTERZTAL_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Mike_AboutERZTAL_12_05"")"	SUBTITLE	Только по подземным коридорам ты долго будешь плутать без карты.	Ňîëüęî ďî ďîäçĺěíűě ęîđčäîđŕě ňű äîëăî áóäĺřü ďëóňŕňü áĺç ęŕđňű.
64819	-1	57856	DIA_EX_MIKE_ABOUTERZTAL_INFO	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Mike_AboutERZTAL_15_03"")"	SUBTITLE	И как быть?	I co zrobisz?!
64820	-1	57856	DIA_EX_MIKE_ABOUTERZTAL_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Mike_AboutERZTAL_12_06"")"	SUBTITLE	Я дам тебе схему проходов. Так точно не заблудишься. На месте спроси у Марика, нужна ли помощь с доставкой руды или припасами для экспедиции.	ß äŕě ňĺáĺ ńőĺěó ďđîőîäîâ. Ňŕę ňî÷íî íĺ çŕáëóäčřüń˙. Íŕ ěĺńňĺ ńďđîńč ó Ěŕđčęŕ, íóćíŕ ëč ďîěîůü ń äîńňŕâęîé đóäű čëč ďđčďŕńŕěč äë˙ ýęńďĺäčöčč.
64821	-1	57856	DIA_EX_MIKE_ABOUTERZTAL_INFO	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Mike_AboutERZTAL_15_04"")"	SUBTITLE	Почему ты мне доверяешь?	Ďî÷ĺěó ňű ěíĺ äîâĺđ˙ĺřü?
64822	-1	57856	DIA_EX_MIKE_ABOUTERZTAL_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Mike_AboutERZTAL_12_07"")"	SUBTITLE	К нам недавно пришло письмо из Хориниса с требованием отчета для лорда Хагена по поводу добычи из всех шахт.	Ę íŕě íĺäŕâíî ďđčřëî ďčńüěî čç Őîđčíčńŕ ń ňđĺáîâŕíčĺě îň÷ĺňŕ äë˙ ëîđäŕ Őŕăĺíŕ ďî ďîâîäó äîáű÷č čç âńĺő řŕőň.
64823	-1	57856	DIA_EX_MIKE_ABOUTERZTAL_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Mike_AboutERZTAL_12_08"")"	SUBTITLE	Ты - тот, кто может выполнить это задание не ослабляя замковый гарнизон.	Ňű - ňîň, ęňî ěîćĺň âűďîëíčňü ýňî çŕäŕíčĺ íĺ îńëŕáë˙˙ çŕěęîâűé ăŕđíčçîí.
64824	2836	205438	DIA_EX_MIKE_ABOUTERZTAL_INFO	B_STARTMISSION.FIRSTNOTE	LOG_ADDENTRY.PAR1	Майк рассказал, что его командир Марик отправился в соседнюю долину присматривать за добычей руды в шахте и экспедицией магов. Я должен выйти из крепости, обойти ее по правой стороне, пока не упрусь в стену. Дорога налево до упора приведет меня к проходу, позволяющему перейти в долину. Я должен поговорить с Мариком, чтобы составить отчет о добыче в Хоринис для лорда Хагена.	Ěŕéę đŕńńęŕçŕë, ÷ňî ĺăî ęîěŕíäčđ Ěŕđčę îňďđŕâčëń˙ â ńîńĺäíţţ äîëčíó ďđčńěŕňđčâŕňü çŕ äîáű÷ĺé đóäű â řŕőňĺ č ýęńďĺäčöčĺé ěŕăîâ. ß äîëćĺí âűéňč čç ęđĺďîńňč, îáîéňč ĺĺ ďî ďđŕâîé ńňîđîíĺ, ďîęŕ íĺ óďđóńü â ńňĺíó. Äîđîăŕ íŕëĺâî äî óďîđŕ ďđčâĺäĺň ěĺí˙ ę ďđîőîäó, ďîçâîë˙ţůĺěó ďĺđĺéňč â äîëčíó. ß äîëćĺí ďîăîâîđčňü ń Ěŕđčęîě, ÷ňîáű ńîńňŕâčňü îň÷ĺň î äîáű÷ĺ â Őîđčíčń äë˙ ëîđäŕ Őŕăĺíŕ.
65133	-1	58006	DIA_EX_RHODOS_HI_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Rhodos_Hi_08_00"")"	SUBTITLE	О, новенький в городе. Я никогда не видел тебя здесь.	Î, íîâĺíüęčé â ăîđîäĺ. ß íčęîăäŕ íĺ âčäĺë ňĺá˙ çäĺńü.
65134	2839	205791	DIA_EX_RHODOS_HI_INFO	INFO_ADDCHOICE.PAR1	INFO_ADDCHOICE.PAR1	Хорошо подметил.	Őîđîřî ďîäěĺňčë.
65135	2839	205792	DIA_EX_RHODOS_HI_INFO	INFO_ADDCHOICE.PAR1	INFO_ADDCHOICE.PAR1	Что ты здесь охраняешь?	×ňî ňű çäĺńü îőđŕí˙ĺřü?
65136	-1	58007	DIA_EX_RHODOS_HI_GOOD	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Rhodos_Hi_good_15_00"")"	SUBTITLE	Хорошо подметил.	Őîđîřî ďîäěĺňčë.
65137	-1	58007	DIA_EX_RHODOS_HI_GOOD	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Rhodos_Hi_good_08_01"")"	SUBTITLE	Да ладно.	Nie ma sprawy.
65138	-1	58008	DIA_EX_RHODOS_HI_WHAT	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Rhodos_Hi_what_15_00"")"	SUBTITLE	Что ты здесь охраняешь?	×ňî ňű çäĺńü îőđŕí˙ĺřü?
65139	-1	58008	DIA_EX_RHODOS_HI_WHAT	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Rhodos_Hi_what_08_01"")"	SUBTITLE	Не что, а кого.	Íĺ ÷ňî, ŕ ęîăî.
65140	-1	58008	DIA_EX_RHODOS_HI_WHAT	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Rhodos_Hi_what_08_02"")"	SUBTITLE	Я правая рука Соломона.	ß ďđŕâŕ˙ đóęŕ Ńîëîěîíŕ.
65141	-1	58008	DIA_EX_RHODOS_HI_WHAT	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Rhodos_Hi_what_08_03"")"	SUBTITLE	Соломон наш босс.	Ńîëîěîí íŕř áîńń.
65142	-1	58008	DIA_EX_RHODOS_HI_WHAT	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Rhodos_Hi_what_08_04"")"	SUBTITLE	Он правит всем пригородом.	Îí ďđŕâčň âńĺě ďđčăîđîäîě.
65143	2839	205800	DIA_EX_RHODOS_HI_WHAT	INFO_ADDCHOICE.PAR1	INFO_ADDCHOICE.PAR1	Хочешь остановить меня?	Őî÷ĺřü îńňŕíîâčňü ěĺí˙?
65144	2839	205801	DIA_EX_RHODOS_HI_WHAT	INFO_ADDCHOICE.PAR1	INFO_ADDCHOICE.PAR1	А какие обязанности у тебя?	Ŕ ęŕęčĺ îá˙çŕííîńňč ó ňĺá˙?
65145	-1	58009	DIA_EX_RHODOS_HI_AUFHALTEN	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Rhodos_Hi_aufhalten_15_00"")"	SUBTITLE	Хочешь остановить меня?	Őî÷ĺřü îńňŕíîâčňü ěĺí˙?
65146	-1	58009	DIA_EX_RHODOS_HI_AUFHALTEN	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Rhodos_Hi_aufhalten_08_01"")"	SUBTITLE	Нет.	Nie.
65147	-1	58010	DIA_EX_RHODOS_HI_RIGHTHAND	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Rhodos_Hi_righthand_15_00"")"	SUBTITLE	А какие обязанности у тебя?	Ŕ ęŕęčĺ îá˙çŕííîńňč ó ňĺá˙?
