NR	FILENR	ID	SYMBOL	USE	TRACE	RU	PL
105601	-1	75577	DIA_EX_ANNI_DRINKAGAIN_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Anni_drinkagain_17_01"")"	SUBTITLE	Спасибо.	Dziękuję.
105602	-1	75577	DIA_EX_ANNI_DRINKAGAIN_INFO	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Anni_drinkagain_15_02"")"	SUBTITLE	Ты просто хотела рассказать о себе.	Ňű ďđîńňî őîňĺëŕ đŕńńęŕçŕňü î ńĺáĺ.
105603	-1	75577	DIA_EX_ANNI_DRINKAGAIN_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Anni_drinkagain_17_03"")"	SUBTITLE	О, да..	Î, äŕ..
105604	-1	75577	DIA_EX_ANNI_DRINKAGAIN_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Anni_drinkagain_17_04"")"	SUBTITLE	Хако был очень порядочны когда я вышла за него замуж.	Őŕęî áűë î÷ĺíü ďîđ˙äî÷íű ęîăäŕ ˙ âűřëŕ çŕ íĺăî çŕěóć.
105605	-1	75577	DIA_EX_ANNI_DRINKAGAIN_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Anni_drinkagain_17_05"")"	SUBTITLE	А сейчас он просто бездельник.	Ŕ ńĺé÷ŕń îí ďđîńňî áĺçäĺëüíčę.
105606	-1	75577	DIA_EX_ANNI_DRINKAGAIN_INFO	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Anni_drinkagain_15_06"")"	SUBTITLE	Ты уже это говорила.	Ňű óćĺ ýňî ăîâîđčëŕ.
105607	-1	75577	DIA_EX_ANNI_DRINKAGAIN_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Anni_drinkagain_17_07"")"	SUBTITLE	Потом я сбежала от него и с тех пор я тут.	Ďîňîě ˙ ńáĺćŕëŕ îň íĺăî č ń ňĺő ďîđ ˙ ňóň.
105608	-1	75577	DIA_EX_ANNI_DRINKAGAIN_INFO	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Anni_drinkagain_15_08"")"	SUBTITLE	Ну, далеко ты не убежала.	Íó, äŕëĺęî ňű íĺ óáĺćŕëŕ.
105609	3214	248982	DIA_EX_ANNI_HOWPAY	C_INFO.DESCRIPTION	C_INFO.DESCRIPTION	Откуда ты берешь деньги, чтобы сидеть здесь?	Îňęóäŕ ňű áĺđĺřü äĺíüăč, ÷ňîáű ńčäĺňü çäĺńü?
105610	-1	75580	DIA_EX_ANNI_HOWPAY_INFO	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Anni_howpay_15_00"")"	SUBTITLE	Откуда ты берешь деньги, чтобы сидеть здесь?	Îňęóäŕ ňű áĺđĺřü äĺíüăč, ÷ňîáű ńčäĺňü çäĺńü?
105611	-1	75580	DIA_EX_ANNI_HOWPAY_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Anni_howpay_17_01"")"	SUBTITLE	Я взяла с собой много вещей и продала их.	ß âç˙ëŕ ń ńîáîé ěíîăî âĺůĺé č ďđîäŕëŕ čő.
105612	-1	75580	DIA_EX_ANNI_HOWPAY_INFO	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Anni_howpay_15_02"")"	SUBTITLE	У тебя все еще есть золото?	Ó ňĺá˙ âńĺ ĺůĺ ĺńňü çîëîňî?
105613	-1	75580	DIA_EX_ANNI_HOWPAY_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Anni_howpay_17_03"")"	SUBTITLE	Нет. На этой неделе потратила последнее.	Nie. Íŕ ýňîé íĺäĺëĺ ďîňđŕňčëŕ ďîńëĺäíĺĺ.
105614	3214	248987	DIA_EX_ANNI_WHATNOW	C_INFO.DESCRIPTION	C_INFO.DESCRIPTION	И что ты собираешься сейчас делать?	Č ÷ňî ňű ńîáčđŕĺřüń˙ ńĺé÷ŕń äĺëŕňü?
105615	-1	75583	DIA_EX_ANNI_WHATNOW_INFO	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Anni_whatnow_15_00"")"	SUBTITLE	И что ты собираешься сейчас делать?	Č ÷ňî ňű ńîáčđŕĺřüń˙ ńĺé÷ŕń äĺëŕňü?
105616	-1	75583	DIA_EX_ANNI_WHATNOW_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Anni_whatnow_17_01"")"	SUBTITLE	Сначала нужно выпить. Нальешь еще одну?	Ńíŕ÷ŕëŕ íóćíî âűďčňü. Íŕëüĺřü ĺůĺ îäíó?
105617	3214	248990	DIA_EX_ANNI_DRINANOTHER	C_INFO.DESCRIPTION	C_INFO.DESCRIPTION	Держи.	Proszę bardzo.
105618	-1	75586	DIA_EX_ANNI_DRINANOTHER_INFO	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Anni_drinanother_15_00"")"	SUBTITLE	Держи.	Proszę bardzo.
105619	-1	75586	DIA_EX_ANNI_DRINANOTHER_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Anni_drinanother_17_01"")"	SUBTITLE	Сейчас будет трудно.	Ńĺé÷ŕń áóäĺň ňđóäíî.
105620	-1	75586	DIA_EX_ANNI_DRINANOTHER_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Anni_drinanother_17_02"")"	SUBTITLE	Но где-нибудь я урву и свой кусок пирога.	Íî ăäĺ-íčáóäü ˙ óđâó č ńâîé ęóńîę ďčđîăŕ.
105621	-1	75586	DIA_EX_ANNI_DRINANOTHER_INFO	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Anni_drinanother_15_03"")"	SUBTITLE	Ты же не хочешь испортить себе жизнь?	Ňű ćĺ íĺ őî÷ĺřü čńďîđňčňü ńĺáĺ ćčçíü?
105622	-1	75586	DIA_EX_ANNI_DRINANOTHER_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Anni_drinanother_17_04"")"	SUBTITLE	Ну а что мне терять? У меня ничего нет.	Íó ŕ ÷ňî ěíĺ ňĺđ˙ňü? Ó ěĺí˙ íč÷ĺăî íĺň.
105623	3214	248996	DIA_EX_ANNI_STOPDRINK	C_INFO.DESCRIPTION	C_INFO.DESCRIPTION	Ты должна бросить пить.	Ňű äîëćíŕ áđîńčňü ďčňü.
105624	-1	75589	DIA_EX_ANNI_STOPDRINK_INFO	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Anni_stopdrink_15_00"")"	SUBTITLE	Ты должна бросить пить.	Ňű äîëćíŕ áđîńčňü ďčňü.
105625	-1	75589	DIA_EX_ANNI_STOPDRINK_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Anni_stopdrink_17_01"")"	SUBTITLE	Да ладно. Я пью столько, сколько хочу.	Nie ma sprawy. ß ďüţ ńňîëüęî, ńęîëüęî őî÷ó.
105626	-1	75589	DIA_EX_ANNI_STOPDRINK_INFO	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Anni_stopdrink_15_02"")"	SUBTITLE	А если денег совсем не останется?	Ŕ ĺńëč äĺíĺă ńîâńĺě íĺ îńňŕíĺňń˙?
105627	-1	75589	DIA_EX_ANNI_STOPDRINK_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Anni_stopdrink_17_03"")"	SUBTITLE	Тогда я попрошу тебя налить мне еще.	Ňîăäŕ ˙ ďîďđîřó ňĺá˙ íŕëčňü ěíĺ ĺůĺ.
105628	3215	249001	DIA_EX_LEA_TRADE	C_INFO.DESCRIPTION	C_INFO.DESCRIPTION	Я хочу купить вино.	ß őî÷ó ęóďčňü âčíî.
105629	3215	249002	DIA_EX_LEA_TRADE_INFO	B_LOGENTRY.ENTRY	LOG_ADDENTRY.PAR1	У Леа я могу купить разные виды вина.	Ó Ëĺŕ ˙ ěîăó ęóďčňü đŕçíűĺ âčäű âčíŕ.
105630	-1	75596	DIA_EX_LEA_TRADE_INFO	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Lea_trade_15_00"")"	SUBTITLE	Я хочу купить вино.	ß őî÷ó ęóďčňü âčíî.
105631	-1	75596	DIA_EX_LEA_TRADE_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Lea_trade_16_01"")"	SUBTITLE	У нас большой выбор. Что хочешь?	Ó íŕń áîëüřîé âűáîđ. ×ňî őî÷ĺřü?
105632	-1	75602	DIA_EX_MARTA_HI_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Marta_hi_16_00"")"	SUBTITLE	Я думаю, тебе действительно стоит уйти.	ß äóěŕţ, ňĺáĺ äĺéńňâčňĺëüíî ńňîčň óéňč.
