NR	FILENR	ID	SYMBOL	USE	TRACE	RU	PL
9226	114	90206	ITWR_GAENGEZETTEL	C_ITEM.NAME	C_ITEM.NAME	Помятый кусок пергамента	Ďîě˙ňűé ęóńîę ďĺđăŕěĺíňŕ
9227	114	90209	ITWR_GAENGEZETTEL	C_ITEM.TEXT	C_ITEM.TEXT	Помятый кусок пергамента	Ďîě˙ňűé ęóńîę ďĺđăŕěĺíňŕ
9228	114	90213	USE_GAENGEZETTEL	DOC_PRINTLINES.PAR2	DOC_PRINTLINES.PAR2	День третий:	Äĺíü ňđĺňčé:
9229	114	90215	USE_GAENGEZETTEL	DOC_PRINTLINES.PAR2	DOC_PRINTLINES.PAR2	Уже несколько дней я не видел света...	Óćĺ íĺńęîëüęî äíĺé ˙ íĺ âčäĺë ńâĺňŕ...
9230	114	90216	USE_GAENGEZETTEL	DOC_PRINTLINES.PAR2	DOC_PRINTLINES.PAR2	Я не мог поверить своим глазам, когда увидел ущелье.	ß íĺ ěîă ďîâĺđčňü ńâîčě ăëŕçŕě, ęîăäŕ óâčäĺë óůĺëüĺ.
9231	114	90217	USE_GAENGEZETTEL	DOC_PRINTLINES.PAR2	DOC_PRINTLINES.PAR2	Я вошел в него и солнечный	ß âîřĺë â íĺăî č ńîëíĺ÷íűé
9232	114	90218	USE_GAENGEZETTEL	DOC_PRINTLINES.PAR2	DOC_PRINTLINES.PAR2	свет ослепил меня.	ńâĺň îńëĺďčë ěĺí˙.
9233	114	90219	USE_GAENGEZETTEL	DOC_PRINTLINES.PAR2	DOC_PRINTLINES.PAR2	Но выхода по-прежнему не видно.	Íî âűőîäŕ ďî-ďđĺćíĺěó íĺ âčäíî.
9234	114	90220	USE_GAENGEZETTEL	DOC_PRINTLINES.PAR2	DOC_PRINTLINES.PAR2	Единственным выходом представляется этот	Ĺäčíńňâĺííűě âűőîäîě ďđĺäńňŕâë˙ĺňń˙ ýňîň 
9235	114	90221	USE_GAENGEZETTEL	DOC_PRINTLINES.PAR2	DOC_PRINTLINES.PAR2	древний храм.	äđĺâíčé őđŕě.
9236	114	90222	USE_GAENGEZETTEL	DOC_PRINTLINES.PAR2	DOC_PRINTLINES.PAR2	Интересно, кто его построил...	Číňĺđĺńíî, ęňî ĺăî ďîńňđîčë...
9237	114	90224	USE_GAENGEZETTEL	DOC_PRINTLINES.PAR2	DOC_PRINTLINES.PAR2	...Теперь я нахожусь в этой комнате	...Ňĺďĺđü ˙ íŕőîćóńü â ýňîé ęîěíŕňĺ
9238	114	90225	USE_GAENGEZETTEL	DOC_PRINTLINES.PAR2	DOC_PRINTLINES.PAR2	5 направлений, два рычага и один переключатель	5 íŕďđŕâëĺíčé, äâŕ đű÷ŕăŕ č îäčí ďĺđĺęëţ÷ŕňĺëü
