NR	FILENR	ID	SYMBOL	USE	TRACE	RU	PL
30058	-1	42339	DIA_DEMRION_GESTRANDETE_INFO	"AI_OUTPUT(SELF,OTHER,""Dia_Demrion_Gestrandete_07_13"")"	SUBTITLE	Из остатков своей гибели они поспешно построили свой новый дом.	Čç îńňŕňęîâ ńâîĺé ăčáĺëč îíč ďîńďĺříî ďîńňđîčëč ńâîé íîâűé äîě.
30059	-1	42339	DIA_DEMRION_GESTRANDETE_INFO	"AI_OUTPUT(OTHER,SELF,""Dia_Demrion_Gestrandete_15_09"")"	SUBTITLE	Вы имеете в виду людей из рыбацкой деревни?	Âű čěĺĺňĺ â âčäó ëţäĺé čç đűáŕöęîé äĺđĺâíč?
30060	-1	42339	DIA_DEMRION_GESTRANDETE_INFO	"AI_OUTPUT(SELF,OTHER,""Dia_Demrion_Gestrandete_07_14"")"	SUBTITLE	Эти люди движимы дьяволами своей судьбы. Они потерпели кораблекрушение здесь, но не могут остаться здесь.	Ýňč ëţäč äâčćčěű äü˙âîëŕěč ńâîĺé ńóäüáű. Îíč ďîňĺđďĺëč ęîđŕáëĺęđóřĺíčĺ çäĺńü, íî íĺ ěîăóň îńňŕňüń˙ çäĺńü.
30061	-1	42339	DIA_DEMRION_GESTRANDETE_INFO	"AI_OUTPUT(SELF,OTHER,""Dia_Demrion_Gestrandete_07_15"")"	SUBTITLE	Ни на мгновение, ни на вечность.	Íč íŕ ěăíîâĺíčĺ, íč íŕ âĺ÷íîńňü.
30062	-1	42339	DIA_DEMRION_GESTRANDETE_INFO	"AI_OUTPUT(OTHER,SELF,""Dia_Demrion_Gestrandete_15_10"")"	SUBTITLE	Что ты пытаешься мне сказать?	×ňî ňű ďűňŕĺřüń˙ ěíĺ ńęŕçŕňü?
30063	-1	42339	DIA_DEMRION_GESTRANDETE_INFO	"AI_OUTPUT(SELF,OTHER,""Dia_Demrion_Gestrandete_07_16"")"	SUBTITLE	Их тюремщик плыл по волнам их разбитого корабля, и они знают это, Корин, они знают это, и все же они этого не видят.	Čő ňţđĺěůčę ďëűë ďî âîëíŕě čő đŕçáčňîăî ęîđŕáë˙, č îíč çíŕţň ýňî, Ęîđčí, îíč çíŕţň ýňî, č âńĺ ćĺ îíč ýňîăî íĺ âčä˙ň.
30064	-1	42339	DIA_DEMRION_GESTRANDETE_INFO	"AI_OUTPUT(SELF,OTHER,""Dia_Demrion_Gestrandete_07_17"")"	SUBTITLE	Так скажи мне, Корин, что вызывает слепоту этих липких душ?	Ňŕę ńęŕćč ěíĺ, Ęîđčí, ÷ňî âűçűâŕĺň ńëĺďîňó ýňčő ëčďęčő äóř?
30065	-1	42339	DIA_DEMRION_GESTRANDETE_INFO	"AI_OUTPUT(OTHER,SELF,""Dia_Demrion_Gestrandete_15_11"")"	SUBTITLE	(неуверенно) Я... я отправлюсь в деревню застрявших и выясню. Если есть ответ на ваш вопрос, я его найду.	(íĺóâĺđĺííî) Ja... ˙ îňďđŕâëţńü â äĺđĺâíţ çŕńňđ˙âřčő č âű˙ńíţ. Ĺńëč ĺńňü îňâĺň íŕ âŕř âîďđîń, ˙ ĺăî íŕéäó.
30066	-1	42339	DIA_DEMRION_GESTRANDETE_INFO	"AI_OUTPUT(SELF,OTHER,""Dia_Demrion_Gestrandete_07_18"")"	SUBTITLE	Вы найдете. Но будьте осторожны: те, кто слишком глубоко погрузится в туман, никогда не найдут дорогу обратно.	Âű íŕéäĺňĺ. Íî áóäüňĺ îńňîđîćíű: ňĺ, ęňî ńëčřęîě ăëóáîęî ďîăđóçčňń˙ â ňóěŕí, íčęîăäŕ íĺ íŕéäóň äîđîăó îáđŕňíî.
30067	2462	167593	DIA_SANATRAS_WORASLOSTHERBS	C_INFO.DESCRIPTION	C_INFO.DESCRIPTION	Не могли бы вы помочь мне найти пропавшие травы Вораса?	Íĺ ěîăëč áű âű ďîěî÷ü ěíĺ íŕéňč ďđîďŕâřčĺ ňđŕâű Âîđŕńŕ?
30068	-1	42345	DIA_SANATRAS_WORASLOSTHERBS_INFO	"AI_OUTPUT(OTHER,SELF,""Dia_Sanatras_WorasLostHerbs_15_01"")"	SUBTITLE	Не могли бы вы помочь мне найти пропавшие травы Вораса?	Íĺ ěîăëč áű âű ďîěî÷ü ěíĺ íŕéňč ďđîďŕâřčĺ ňđŕâű Âîđŕńŕ?
30069	-1	42345	DIA_SANATRAS_WORASLOSTHERBS_INFO	"AI_OUTPUT(SELF,OTHER,""Dia_Sanatras_WorasLostHerbs_10_01"")"	SUBTITLE	Если он сам не знает, куда их положил, боюсь, я тоже не смогу вам помочь.	Ĺńëč îí ńŕě íĺ çíŕĺň, ęóäŕ čő ďîëîćčë, áîţńü, ˙ ňîćĺ íĺ ńěîăó âŕě ďîěî÷ü.
30070	2462	167596	DIA_SANATRAS_BANNKREISE	C_INFO.DESCRIPTION	C_INFO.DESCRIPTION	Мастер, мне нужен ваш совет.	Ěŕńňĺđ, ěíĺ íóćĺí âŕř ńîâĺň.
30071	-1	42348	DIA_SANATRAS_BANNKREISE_INFO	"AI_OUTPUT(OTHER,SELF,""Dia_Sanatras_Bannkreise_15_01"")"	SUBTITLE	Мастер, мне нужен ваш совет.	Ěŕńňĺđ, ěíĺ íóćĺí âŕř ńîâĺň.
30072	-1	42348	DIA_SANATRAS_BANNKREISE_INFO	"AI_OUTPUT(SELF,OTHER,""Dia_Sanatras_Bannkreise_10_01"")"	SUBTITLE	(упрямо) В чем дело? Вообще-то, я сейчас очень занят.	(óďđ˙ěî) Coś nie tak? Âîîáůĺ-ňî, ˙ ńĺé÷ŕń î÷ĺíü çŕí˙ň.
30073	-1	42348	DIA_SANATRAS_BANNKREISE_INFO	"AI_OUTPUT(OTHER,SELF,""Dia_Sanatras_Bannkreise_15_02"")"	SUBTITLE	Кел попросил меня проверить защитный круг здесь, на острове.	Ęĺë ďîďđîńčë ěĺí˙ ďđîâĺđčňü çŕůčňíűé ęđóă çäĺńü, íŕ îńňđîâĺ.
30074	-1	42348	DIA_SANATRAS_BANNKREISE_INFO	"AI_OUTPUT(OTHER,SELF,""Dia_Sanatras_Bannkreise_15_03"")"	SUBTITLE	Он опасается, что недавнее землетрясение может быть как-то связано с этим.	Îí îďŕńŕĺňń˙, ÷ňî íĺäŕâíĺĺ çĺěëĺňđ˙ńĺíčĺ ěîćĺň áűňü ęŕę-ňî ńâ˙çŕíî ń ýňčě.
30075	-1	42348	DIA_SANATRAS_BANNKREISE_INFO	"AI_OUTPUT(SELF,OTHER,""Dia_Sanatras_Bannkreise_10_02"")"	SUBTITLE	Думаю, он прав. Поэтому я как раз собирался сам туда отправиться. Почему вы еще не с ним в Аркантике?	Äóěŕţ, îí ďđŕâ. Ďîýňîěó ˙ ęŕę đŕç ńîáčđŕëń˙ ńŕě ňóäŕ îňďđŕâčňüń˙. Ďî÷ĺěó âű ĺůĺ íĺ ń íčě â Ŕđęŕíňčęĺ?
30076	-1	42348	DIA_SANATRAS_BANNKREISE_INFO	"AI_OUTPUT(OTHER,SELF,""Dia_Sanatras_Bannkreise_15_04"")"	SUBTITLE	Мы уже собирались уходить, когда землетрясение, а затем и этот, этот шум, сорвали наши планы.	Ěű óćĺ ńîáčđŕëčńü óőîäčňü, ęîăäŕ çĺěëĺňđ˙ńĺíčĺ, ŕ çŕňĺě č ýňîň, ýňîň řóě, ńîđâŕëč íŕřč ďëŕíű.
