NR	FILENR	ID	SYMBOL	USE	TRACE	RU	PL
24210	963	125851	VLK_3116_SANCHO	C_NPC.NAME	C_NPC.NAME	Санчес	Ńŕí÷ĺń
24211	963	125855	STRF_3117_FASKO	C_NPC.NAME	C_NPC.NAME	Фаско	Ôŕńęî
24212	963	125860	VLK_3118_HARLAN	C_NPC.NAME	C_NPC.NAME	Харлан	Őŕđëŕí
24213	963	125868	STRF_3119_RONALD	C_NPC.NAME	C_NPC.NAME	Роланд	Đîëŕíä
24214	963	125873	NONE_3124_SEK	C_NPC.NAME	C_NPC.NAME	Сэк	Ńýę
24215	963	125884	NONE_3122_ROCKY	C_NPC.NAME	C_NPC.NAME	Рокки	Đîęęč
24222	976	126248	ZOMBIE_OM10	C_NPC.NAME	C_NPC.NAME	Страж-фанатик защитник	Obrońca fanatyk
24223	976	126251	ZOMBIE_OM11	C_NPC.NAME	C_NPC.NAME	Страж-фанатик защитник	Obrońca fanatyk
24224	976	126254	ZOMBIE_OM12	C_NPC.NAME	C_NPC.NAME	Страж-фанатик защитник	Obrońca fanatyk
24285	1024	127934	KDF_641_DEMRION	C_NPC.NAME	C_NPC.NAME	Демрион	Äĺěđčîí
24286	1024	127939	KDF_642_DEMRION_ASTRALPROJEKTION	C_NPC.NAME	C_NPC.NAME	Демрион	Äĺěđčîí
24287	1024	127944	KDF_643_SANATRAS	C_NPC.NAME	C_NPC.NAME	Санатрас	Ńŕíŕňđŕń
24288	1024	127950	KDF_644_TUBUR	C_NPC.NAME	C_NPC.NAME	Тубур	Ňóáóđ
24289	1024	127982	KDF_645_ESOTARIS	C_NPC.NAME	C_NPC.NAME	Эо’Тарис	Ýî’Ňŕđčń
24290	1024	128019	KDF_646_KRAITOS	C_NPC.NAME	C_NPC.NAME	Крайтос	Ęđŕéňîń
24291	1024	128033	KDF_647_NYRAN	C_NPC.NAME	C_NPC.NAME	Ниран	Íčđŕí
24292	1024	128066	KDF_648_REMORAZ	C_NPC.NAME	C_NPC.NAME	Ремораз	Đĺěîđŕç
24293	1024	128078	KDF_649_WORAS	C_NPC.NAME	C_NPC.NAME	Ворас	Âîđŕń
24294	1024	128085	KDF_650_KEL	C_NPC.NAME	C_NPC.NAME	Кел	Ęĺë
24295	1024	128104	KDF_651_KEL	C_NPC.NAME	C_NPC.NAME	Кел	Ęĺë
24296	1024	128115	KDF_652_MIRAS	C_NPC.NAME	C_NPC.NAME	Мирас	Ěčđŕń
