NR	FILENR	ID	SYMBOL	USE	TRACE	RU	PL
104580	-1	75054	B_SENTA_TORCH_THX	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Senta_takeit_10_02"")"	SUBTITLE	Хм, спасибо.	Őě, ńďŕńčáî.
104581	-1	75054	B_SENTA_TORCH_THX	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Senta_takeit_10_03"")"	SUBTITLE	На какое-то время обойдусь факелом.	Íŕ ęŕęîĺ-ňî âđĺě˙ îáîéäóńü ôŕęĺëîě.
104582	-1	75055	DIA_EX_SENTA_TAKEIT_1	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Senta_takeit_15_01"")"	SUBTITLE	Возьми этот факел.	Âîçüěč ýňîň ôŕęĺë.
104583	-1	75056	DIA_EX_SENTA_TAKEIT_5	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Senta_takeit_15_02"")"	SUBTITLE	Возьми эти факелы.	Âîçüěč ýňč ôŕęĺëű.
104584	-1	75057	DIA_EX_SENTA_TAKEIT_0	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Senta_takeit_15_03"")"	SUBTITLE	Нет, извини.	Íĺň, čçâčíč.
104585	-1	75057	DIA_EX_SENTA_TAKEIT_0	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Senta_takeit_10_04"")"	SUBTITLE	Здесь очень темно. Я должен что-то придумать.	Çäĺńü î÷ĺíü ňĺěíî. ß äîëćĺí ÷ňî-ňî ďđčäóěŕňü.
104586	-1	75060	DIA_EX_YEN_EXIT_INFO	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Yen_EXIT_15_00"")"	SUBTITLE	Смотри не подсядь.	Ńěîňđč íĺ ďîäń˙äü.
104587	-1	75060	DIA_EX_YEN_EXIT_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Yen_EXIT_05_01"")"	SUBTITLE	Не волнуйся, мне все это не нравится.	Íĺ âîëíóéń˙, ěíĺ âńĺ ýňî íĺ íđŕâčňń˙.
104588	3199	247922	DIA_EX_YEN_PERM	C_INFO.DESCRIPTION	C_INFO.DESCRIPTION	Как дела?	Jak leci?
104589	-1	75063	DIA_EX_YEN_PERM_INFO	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Yen_perm_15_00"")"	SUBTITLE	Как дела?	No i jak leci?
104590	-1	75063	DIA_EX_YEN_PERM_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Yen_perm_05_01"")"	SUBTITLE	Толочь - чертовски тяжелая работа, я больше не чувствую своих мускулов, но работы лучше нет.	Ňîëî÷ü - ÷ĺđňîâńęč ň˙ćĺëŕ˙ đŕáîňŕ, ˙ áîëüřĺ íĺ ÷óâńňâóţ ńâîčő ěóńęóëîâ, íî đŕáîňű ëó÷řĺ íĺň.
104591	-1	75063	DIA_EX_YEN_PERM_INFO	"AI_OUTPUT(OTHER,SELF,""DIA_EX_Yen_perm_15_02"")"	SUBTITLE	А?	No i?
104592	-1	75063	DIA_EX_YEN_PERM_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Yen_perm_05_03"")"	SUBTITLE	Ну, никто не может получить такой хороший материал так дешево, как мы.	Íó, íčęňî íĺ ěîćĺň ďîëó÷čňü ňŕęîé őîđîřčé ěŕňĺđčŕë ňŕę äĺřĺâî, ęŕę ěű.
104593	-1	75063	DIA_EX_YEN_PERM_INFO	"AI_OUTPUT(SELF,OTHER,""DIA_EX_Yen_perm_05_04"")"	SUBTITLE	За десять золотых монет, которые другие платят за паршивый стебель, я могу выкурить свой мозг три раза.	Çŕ äĺń˙ňü çîëîňűő ěîíĺň, ęîňîđűĺ äđóăčĺ ďëŕň˙ň çŕ ďŕđřčâűé ńňĺáĺëü, ˙ ěîăó âűęóđčňü ńâîé ěîçă ňđč đŕçŕ.
